"Year","Quarter ID","Quarter","State ID","State","Trade Value","Time"
2006,20061,"2006-Q1",16,"Michoacán de Ocampo",88657873,1138773600000
2006,20062,"2006-Q2",16,"Michoacán de Ocampo",61272788,1146459600000
2006,20063,"2006-Q3",16,"Michoacán de Ocampo",44648807,1154408400000
2006,20064,"2006-Q4",16,"Michoacán de Ocampo",69551832,1162360800000
2007,20071,"2007-Q1",16,"Michoacán de Ocampo",107959010,1170309600000
2007,20071,"2007-Q1",25,"Sinaloa",152116,1170309600000
2007,20072,"2007-Q2",16,"Michoacán de Ocampo",146406296,1177995600000
2007,20073,"2007-Q3",16,"Michoacán de Ocampo",116138563,1185944400000
2007,20074,"2007-Q4",15,"Estado de México",79036,1193896800000
2007,20074,"2007-Q4",16,"Michoacán de Ocampo",93037417,1193896800000
2008,20081,"2008-Q1",16,"Michoacán de Ocampo",153230543,1201845600000
2008,20082,"2008-Q2",16,"Michoacán de Ocampo",149799232,1209618000000
2008,20083,"2008-Q3",16,"Michoacán de Ocampo",124143089,1217566800000
2008,20084,"2008-Q4",16,"Michoacán de Ocampo",143789503,1225519200000
2009,20091,"2009-Q1",14,"Jalisco",1289827,1233468000000
2009,20091,"2009-Q1",16,"Michoacán de Ocampo",196590676,1233468000000
2009,20092,"2009-Q2",14,"Jalisco",904597,1241154000000
2009,20092,"2009-Q2",16,"Michoacán de Ocampo",184974704,1241154000000
2009,20093,"2009-Q3",9,"Ciudad de México",208821,1249102800000
2009,20093,"2009-Q3",14,"Jalisco",1119126,1249102800000
2009,20093,"2009-Q3",16,"Michoacán de Ocampo",129469095,1249102800000
2009,20094,"2009-Q4",9,"Ciudad de México",696107,1257055200000
2009,20094,"2009-Q4",14,"Jalisco",1555372,1257055200000
2009,20094,"2009-Q4",16,"Michoacán de Ocampo",118229160,1257055200000
2010,20101,"2010-Q1",14,"Jalisco",919463,1265004000000
2010,20101,"2010-Q1",16,"Michoacán de Ocampo",149352313,1265004000000
2010,20102,"2010-Q2",9,"Ciudad de México",63089,1272690000000
2010,20102,"2010-Q2",14,"Jalisco",380215,1272690000000
2010,20102,"2010-Q2",16,"Michoacán de Ocampo",140705668,1272690000000
2010,20103,"2010-Q3",14,"Jalisco",1496161,1280638800000
2010,20103,"2010-Q3",16,"Michoacán de Ocampo",94633692,1280638800000
2010,20104,"2010-Q4",14,"Jalisco",1575867,1288591200000
2010,20104,"2010-Q4",16,"Michoacán de Ocampo",148070132,1288591200000
2011,20111,"2011-Q1",14,"Jalisco",1456599,1296540000000
2011,20111,"2011-Q1",16,"Michoacán de Ocampo",253624940,1296540000000
2011,20112,"2011-Q2",16,"Michoacán de Ocampo",239986318,1304226000000
2011,20113,"2011-Q3",16,"Michoacán de Ocampo",169256333,1312174800000
2011,20114,"2011-Q4",14,"Jalisco",1234617,1320127200000
2011,20114,"2011-Q4",16,"Michoacán de Ocampo",215584706,1320127200000
2011,20114,"2011-Q4",18,"Nayarit",155007,1320127200000
2012,20121,"2012-Q1",14,"Jalisco",3748533,1328076000000
2012,20121,"2012-Q1",16,"Michoacán de Ocampo",252827380,1328076000000
2012,20122,"2012-Q2",14,"Jalisco",3319594,1335848400000
2012,20122,"2012-Q2",16,"Michoacán de Ocampo",234712213,1335848400000
2012,20123,"2012-Q3",14,"Jalisco",2648309,1343797200000
2012,20123,"2012-Q3",16,"Michoacán de Ocampo",169382054,1343797200000
2012,20124,"2012-Q4",14,"Jalisco",4682730,1351749600000
2012,20124,"2012-Q4",16,"Michoacán de Ocampo",262655190,1351749600000
2013,20131,"2013-Q1",14,"Jalisco",3057754,1359698400000
2013,20131,"2013-Q1",16,"Michoacán de Ocampo",303543800,1359698400000
2013,20132,"2013-Q2",14,"Jalisco",1133212,1367384400000
2013,20132,"2013-Q2",16,"Michoacán de Ocampo",308771618,1367384400000
2013,20133,"2013-Q3",14,"Jalisco",2849792,1375333200000
2013,20133,"2013-Q3",16,"Michoacán de Ocampo",226079553,1375333200000
2013,20133,"2013-Q3",19,"Nuevo León",424323,1375333200000
2013,20134,"2013-Q4",14,"Jalisco",4198348,1383285600000
2013,20134,"2013-Q4",16,"Michoacán de Ocampo",345161789,1383285600000
2013,20134,"2013-Q4",19,"Nuevo León",1179048,1383285600000
2014,20141,"2014-Q1",9,"Ciudad de México",884186,1391234400000
2014,20141,"2014-Q1",14,"Jalisco",5998632,1391234400000
2014,20141,"2014-Q1",16,"Michoacán de Ocampo",388258168,1391234400000
2014,20142,"2014-Q2",9,"Ciudad de México",287243,1398920400000
2014,20142,"2014-Q2",14,"Jalisco",3805330,1398920400000
2014,20142,"2014-Q2",16,"Michoacán de Ocampo",356527276,1398920400000
2014,20143,"2014-Q3",14,"Jalisco",3244010,1406869200000
2014,20143,"2014-Q3",16,"Michoacán de Ocampo",334752712,1406869200000
2014,20144,"2014-Q4",14,"Jalisco",8177017,1414821600000
2014,20144,"2014-Q4",16,"Michoacán de Ocampo",413180486,1414821600000
2015,20151,"2015-Q1",14,"Jalisco",11144836,1422770400000
2015,20151,"2015-Q1",15,"Estado de México",622904,1422770400000
2015,20151,"2015-Q1",16,"Michoacán de Ocampo",476645175,1422770400000
2015,20152,"2015-Q2",14,"Jalisco",9918767,1430456400000
2015,20152,"2015-Q2",16,"Michoacán de Ocampo",410780743,1430456400000
2015,20153,"2015-Q3",14,"Jalisco",18749758,1438405200000
2015,20153,"2015-Q3",16,"Michoacán de Ocampo",404251671,1438405200000
2015,20153,"2015-Q3",19,"Nuevo León",350162,1438405200000
2015,20154,"2015-Q4",9,"Ciudad de México",199211,1446357600000
2015,20154,"2015-Q4",14,"Jalisco",18235579,1446357600000
2015,20154,"2015-Q4",15,"Estado de México",394658,1446357600000
2015,20154,"2015-Q4",16,"Michoacán de Ocampo",425309756,1446357600000
2015,20154,"2015-Q4",18,"Nayarit",84631,1446357600000
2015,20154,"2015-Q4",19,"Nuevo León",740137,1446357600000
2016,20161,"2016-Q1",9,"Ciudad de México",143651,1454306400000
